"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1848","WAUKESHA ","WI ",29,2,"PFFS ",1623913,1527140,94.0407521831527
"1849","WAUPACA ","WI ",8,5,"PFFS ",89800,421360,469.220489977728
"1850","WAUSHARA ","WI ",8,4,"PFFS ",38544,421440,1093.399750934
"1851","CONVERSE ","WY ",6,0,"HMO ",10836,318240,2936.87707641196
"1852","GOSHEN ","WY ",4,0,"HMO ",9972,212280,2128.76052948255
"1853","HOT SPRINGS ","WY ",4,0,"HCPP ",4792,212320,4430.71786310518
"1854","LARAMIE ","WY ",17,1,"COST ",210052,902700,429.750728391065
"1855","NATRONA ","WY ",12,0,"HCPP ",126756,637440,502.887437281075
"1856","NIOBRARA ","WY ",2,0,"HMO ",1076,106260,9875.46468401487
"1857","SUBLETTE ","WY ",6,0,"HCPP ",5376,319020,5934.15178571429
"1858","SWEETWATER ","WY ",7,2,"HCPP ",28182,372260,1320.91405861898
"1859","UINTA ","WY ",10,1,"HCPP ",20060,532000,2652.04386839482
"1860","WASHAKIE ","WY ",2,0,"HCPP ",3108,106420,3424.06692406692
"1861","WESTON ","WY ",1,0,"HCPP ",1295,53220,4109.65250965251
"1862","Unusual SCounty Code ","99",0,0,"HCPP ",71611340,0,0
"1863","AMERICAN SOMOA ","AS ",0,0,"HMO ",29331,0,0
"1864","GUAM ","GU ",0,0,"HMO ",117700,0,0
